Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_Esk,MetamorphicFacies_HunterBowen,MetamorphicFacies_Tabberabberan
Mullengandra Monzodiorite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Thologolong Granite,Greenschist facies,Null,Null,Greenschist facies
Thologolong Granite,Greenschist facies,Null,Null,Greenschist facies
Koetong Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Corryong Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Null,Greenschist facies,Null,Null,Greenschist facies
Green Hills Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Green Hills Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Free Damper Monzogranite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Amphibolite facies,Null,Null,Greenschist facies
Gang Gang Monzogranite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Unassigned Silurian intrusions - porphyry,Subgreenschist facies,Null,Null,Subgreenschist facies
Yaouk Leucogranite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Clear Range Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Celeys Creek Monzogranite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Jinden Monzogranite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Woomargama Granite,Greenschist facies,Null,Null,Greenschist facies
Thologolong Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Koetong Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Munderoo Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Green Hills Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Green Hills Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Green Hills Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Amphibolite facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Shannons Flat Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Clear Range Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Michelago Igneous Complex,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
