Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,RockUnits_CSP,RockUnits_LAO
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Anthropogenic material,Pyroclastic rock
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Clastic sediment,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Amphibolite facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Basalt
Null,Amphibolite facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Amphibolite facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Granitic rock,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granodiorite
Tonalite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Tonalite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
