AlOH_Group_Content_correlation,Gravmap2016-grid-grv_ir_mean,Gravmap2016-grid-grv_cscba_mean,Opaque_Index_mean,Gravmap2016-grid-grv_cscba_std,MgOH_Group_Content_mean,IntrusionsBndys_UnconformableBndys,RockUnitBndyFaults_LAO_Geological boundary,RockUnitBndyFaults_CSP_Geological boundary,MetamorphicBoundaries_Faults,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,MetamorphicBoundaries_Unconformities,Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,RockUnitBndyFaults_LAO_Unconformable boundary,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_mean,AlOH_Group_Content_mean,Gravmap2016-grid-grv_cscba_correlation,RockUnitBndyFaults_LAO_Faulted boundary,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_correlation,Opaque_Index_correlation,Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_dissimilarity,Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_dissimilarity,MetamorphicFacies_Benambran_Subgreenschist facies,MetamorphicFacies_Benambran_Upper Greenschist,RockUnits_LAO_Serpentinite,MetamorphicFacies_Benambran_Greenschist facies,RockUnits_LAO_Ultramafic igneous rock,RockUnits_LAO_Sandstone,RockUnits_LAO_Granite,RockUnits_LAO_Siliciclastic sedimentary rock,RockUnits_LAO_Mudstone,RockUnits_LAO_Igneous rock,RockUnits_LAO_Conglomerate,RockUnits_LAO_Pyroclastic rock,RockUnits_LAO_Andesite,RockUnits_LAO_Phyllite,RockUnits_LAO_Shale,RockUnits_LAO_Tuff and lapilli tuff,RockUnits_LAO_Sedimentary rock,RockUnits_LAO_Rhyolite,RockUnits_LAO_Dacite,RockUnits_LAO_Granodiorite,RockUnits_LAO_Monzonite,RockUnits_LAO_Pyroxenite,RockUnits_LAO_Siltstone
2.1238079949071613,-1.999284522067873,-0.6493829477375602,-0.1752277755662671,0.11165118819885379,-0.5917874988123474,0.7723310507390877,-0.22894919086699822,-0.10897634396705841,-1.0331519009938963,0.0037473998336672735,0.05672918351073876,-1.3800349396485105,-1.0240594607135185,0.0417326789571673,-0.45701301971932035,-0.3537075971456983,-0.7920578658103932,-0.26181457752165216,-0.1553970514843321,-1.1022382987996726,0.15309489819251187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2987066465154093,-1.605293237538483,-0.4742197719993987,-0.08531306946008844,-0.24421408921742938,-0.04159799974894525,0.5959920818215224,-0.45108133726997796,-0.6381945436019943,-0.851364755018625,-0.7290822891449675,-0.06889503272454815,-1.3731427807265948,-0.7637109778012187,-0.03790483511300292,-0.5096184881453378,-0.09934054476401256,-0.8256932992556126,0.3416595214853738,-0.3307321305827031,-1.4006949226216567,-0.11231050655094398,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7729681538789794,-1.2683978911730343,-0.34472577847015695,-0.1429045851573122,-0.948443915432406,0.007874023634018516,0.41992541625037333,-0.32508789536568145,-0.5589014507956628,-0.9216182924932785,-0.8794190385030736,-0.19442708079162047,-1.3543685344181353,-0.49772506721047177,-0.2812938143756574,-0.547357358128342,0.047762882549838334,0.039445698909887174,0.8236192187431687,-0.30712938693213754,-1.4908312202578542,-0.5128024945470641,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.21537527204505386,-1.1700274399551949,-0.36851804968413016,-0.2905899329900451,-0.6440008733228385,0.0010010777703652323,0.24421174057939551,-0.5036418010037341,-0.6126496768002528,-0.960115186770092,-1.1045993399846907,-0.31978889502099256,-1.3238841363087446,-0.35612420094191716,-0.296018584350385,-0.6088251258709704,-0.17166441895029277,-0.6315270427733823,0.6672797824347357,-0.3202377580578456,-1.1528201041221138,-0.26686545033119474,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3164052764621415,-1.3822569677216272,-0.5842504141328242,-0.22005554583608689,0.7198841898091136,-0.01870380391896885,0.06896682216296374,-0.6059178838012695,-0.3422947603919959,-0.7566618544707107,-0.4772547975351158,-0.4448591072075647,-1.27843400667594,-0.2169545441819317,0.36366019772413355,-0.11374074463099236,-0.03923047442329548,0.06938518733378858,0.5169090488680346,-0.39352091398261324,-0.19775890789176373,-0.19614365086362529,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.30328384842579315,-1.6873448820911188,-0.8464044029395074,0.14592335451527266,1.0734515263637434,0.01669259393890353,-0.10563732553943563,-0.46119593930362707,0.7614613611276481,-0.6329684066065386,-0.19385690164204356,-0.5694747832736712,-1.226143228015038,0.012895415586923888,0.8637465072628348,0.18078272600590203,0.1200573175802772,1.1613597675959564,-1.209905716819054,-0.4137843566027,0.9243900528397285,1.653350599257334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3269220176995595,-2.0200833164258687,-1.1155518145988006,0.3702942824283659,0.6482307812762927,-0.5917874988123474,-0.27933409564846395,-0.44269445961771975,-0.12425825929508716,-0.6896932382691777,-0.4799172988839052,-0.6934339567786497,-1.1746395436966548,0.29455003886758196,1.6063125340342221,0.4413147673209185,-0.3476792423659316,1.6861928517452507,0.058774710722219986,-0.4339510461396981,0.8047676791150937,1.7868479285893772,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.20543337316332447,-2.355660222026626,-1.3932047143114774,0.2550032336362692,-0.38298607485425307,-0.5917874988123474,-0.4516883087871125,0.5056841219361223,-0.42464480331155446,-0.6868562468819818,-0.7103652046998765,-0.8164218376031416,-1.1257832298360806,0.6051034161416232,2.1970574925347877,0.5160778595604761,-0.9089190635870872,1.0124978528981348,2.493299569805595,-0.37026069066905315,-0.48518821870506457,-0.48538786441637605,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0169435943181382,-2.445015450503068,-1.5521353626041863,0.035585275879181,-1.2061164047054376,-0.5917874988123474,-0.6219421963206374,1.1889812894414706,-0.616087614298048,-0.5791530405650501,-0.3438766554941399,-0.9378904354820622,-1.1072417915174213,0.5905720521638744,1.3275050743468064,0.327291180798006,-1.2822876860869814,1.3456549860985423,3.9135109327651785,-0.39417118754888336,-0.9308354987733918,-2.6114122967251365,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03044791153011461,-2.2144437083660615,-1.5151620594077004,0.20862203605017704,-0.9409845026988252,-0.5917874988123474,-0.7886635587468287,-0.20925722647239942,-0.6201007185716905,-0.6375741574945605,-0.35522718182232305,-1.0569057126606858,-1.1238067749409169,0.2476671705885295,0.8079685333661634,0.20515411558208604,-0.18624495477565461,0.1462179784978921,5.016055307895153,-0.39959304020621816,-0.9236437728981644,-3.590790025306913,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
